time_stamp,model_name,hard_test_RMSE,hard_test_r2,param_test_RMSE,param_test_r2,iqr_test_RMSE,iqr_test_r2
01-05-2022 16:36:59,1.0,True,True,False,False,False,False
01-05-2022 16:37:04,1.0,True,True,False,False,False,False
01-05-2022 16:37:08,1.0,True,True,False,False,False,False
01-05-2022 16:37:14,1.0,True,True,False,False,False,False
01-05-2022 16:37:20,1.0,True,True,False,False,False,False
01-05-2022 16:37:27,1.0,True,True,False,False,False,False
01-05-2022 16:38:13,1.0,True,True,False,False,False,False
01-05-2022 16:41:25,1.0,True,True,False,False,False,False
01-05-2022 16:43:40,1.0,True,True,False,False,False,False
01-05-2022 16:44:54,1.0,True,True,False,False,False,False
02-05-2022 08:13:08,1.0,True,True,False,False,False,False
02-05-2022 11:48:50,1.0,True,True,False,False,False,False
02-05-2022 11:49:37,1.0,True,True,False,False,False,False
